bank_line_id,narration_text,amount,value_date
BNK_ORPHAN_2,SWEEPIN INTEREST CREDIT,412.5,2026-03-10
BNK_3038,CMS/RAZORPAY/TXN_2038/ORD_1038,13639.58,2026-03-05
BNK_3012,CMS/RAZORPAY/TXN_2012/ORD_1012,10463.39,2026-03-02
BNK_3017,CMS/RAZORPAY/TXN_2017/ORD_1017,7032.78,2026-03-06
BNK_3008,CMS/RAZORPAY/TXN_2008/ORD_1008,1801.27,2026-03-03
BNK_3002,CMS/RAZORPAY/TXN_2002/ORD_1002,3648.38,2026-03-03
BNK_3022,CMS/RAZORPAY/TXN_2022/ORD_1022,4238.32,2026-03-05
BNK_3035,CMS/RAZORPAY/TXN_2035/ORD_1035,10850.4,2026-03-03
BNK_3054,CMS/RAZORPAY/TXN_2054/ORD_1054,13109.93,2026-03-04
BNK_3044,CMS/RAZORPAY/TXN_2044/ORD_1044,7767.52,2026-03-06
BNK_3026,CMS/RAZORPAY/TXN_2026/ORD_1026,11702.3,2026-03-08
BNK_3033,CMS/RAZORPAY/TXN_2033/ORD_1033,7405.78,2026-03-03
BNK_3042,CMS/RAZORPAY/TXN_2042/ORD_1042,8819.22,2026-03-02
BNK_3023,CMS/RAZORPAY/TXN_2023/ORD_1023,13199.4,2026-03-08
BNK_3018,CMS/RAZORPAY/TXN_2018/ORD_1018,12421.13,2026-03-02
BNK_3050,CMS/RAZORPAY/TXN_2050/ORD_1050,8080.82,2026-03-07
BNK_ORPHAN_1,ANNUAL DEBIT CARD AMC CHARGES,295.0,2026-03-05
